Well,Group,Measurement,Time,OCR,ECAR,PER
E12,6. GLC Capacity-vpa,4,21.16965406,108.459908,25.78209438,0
F01,1. GLN Dependency -vpa,4,21.16965406,68.32330268,18.1818315,0
F02,1. GLN Dependency -vpa,4,21.16965406,122.7981002,29.64504619,0
F03,2. GLN Capacity-vpa,4,21.16965406,116.7557843,36.39520416,0
F04,2. GLN Capacity-vpa,4,21.16965406,78.02375365,24.36153936,0
F05,3. FA Dependency-vpa,4,21.16965406,107.0364867,24.73622735,0
F06,3. FA Dependency-vpa,4,21.16965406,187.7944737,36.13171846,0
F07,4. FA Capacity-vpa,4,21.16965406,112.6960815,31.53392184,0
F08,4. FA Capacity-vpa,4,21.16965406,217.4551186,55.51014256,0
F09,5. GLC Dependency-vpa,4,21.16965406,138.8349731,36.55940953,0
F10,5. GLC Dependency-vpa,4,21.16965406,107.4596528,31.85386021,0
F11,6. GLC Capacity-vpa,4,21.16965406,97.39839086,27.52560861,0
F12,6. GLC Capacity-vpa,4,21.16965406,96.18784286,23.89295009,0
G01,1. GLN Dependency -vpa,4,21.16965406,73.20921434,19.29944213,0
G02,1. GLN Dependency -vpa,4,21.16965406,132.2333145,31.26666822,0
G03,2. GLN Capacity-vpa,4,21.16965406,145.5863122,39.21777115,0
G04,2. GLN Capacity-vpa,4,21.16965406,118.7480745,33.61775826,0
